Qty,Item,Link,Link (alt)
Electronics,,,
1,Raspberry Pi 4,https://rpilocator.com/,
1,Raspberry Pi Low-Profile CPU Cooler,https://geni.us/jZGuZt9,
1,Pi-UpTime UPS 2.0,https://geni.us/zOOjE,
2,2 × unprotected 18650 Li-Ion — 3400mAh,,
1,IPS LCD 8 inch HJ080IA-01E with Driver Board,https://geni.us/ZfU1Y,https://s.click.aliexpress.com/e/_DmC2qmH
1,HDMI Switcher 2 in 1 Out,https://geni.us/OfXlV,
,Hook-up wire,https://geni.us/8hiS,
,Dupont Connectors,https://geni.us/AMdor,
1,Micro HDMI to Standard Plug,https://www.adafruit.com/product/3557,https://s.click.aliexpress.com/e/_DeT0a9b
1,Micro HDMI to Standard Socket,https://www.adafruit.com/product/3557,https://s.click.aliexpress.com/e/_DeT0a9b
1,Standard HDMI Plug to Socket,https://www.adafruit.com/product/3557,https://s.click.aliexpress.com/e/_DeT0a9b
1,Standard HDMI Plug to Plug,https://www.adafruit.com/product/3557,https://s.click.aliexpress.com/e/_DeT0a9b
1,Micro to Micro USB cable (short),,
1,3.5mm Audio cable (short),,
Finishing,,,
1,Spool of PLA,https://geni.us/XkGsy,
,Assorted Grits Sandpaper,https://geni.us/turnM3,
,Glazing and Spot Putty,https://geni.us/3jiw9,
,Filler Primer (sandable),https://geni.us/1BAKZ,
,Spray Paint,https://geni.us/I7qjJ,
,‎Flat Matte Clear Coat,https://geni.us/Cywvbo,