Quantity,Description,McMaster Carr #,Amazon
1,"Heat-Set Inserts for Plastic
1/4""-20 Thread Size, 0.3"" Installed Length, Brass",93365A160,
8,"Heat-Set Inserts for Plastic
Brass, M4 x 0.70 mm Thread Size, 7.900 mm Installed Length",94180A353,
21,"Heat-Set Inserts for Plastic
Brass, M2.5 x 0.45 mm Thread Size, 3.4 mm Installed Length",94180A321,
2,"Round Pull Handle
304 Stainless Steel, 3/4"" Mounting Hole Center-to-Center Width, 1/2"" Projection",1726A112,
4,"Flared-Collar Knurled-Head Thumb Screw
M4 x 0.70 mm Thread Size, 10 mm Long",99607A276,
13,"Socket Head Screw
M2.5 x 0.45 mm Thread, 5 mm Long",91292A009,https://geni.us/t4BmSQ
5,"Socket Head Screw
M2.5 x 0.45 mm Thread, 20 mm Long",91292A019,https://geni.us/t4BmSQ
3,"Socket Head Screw
M2.5 x 0.45 mm Thread, 8 mm Long",91292A012,https://geni.us/t4BmSQ
3,Flat Head M2.5 x 5 - 6 mm Long,93395A173,
,M2.5 Nylon Spacer Standoffs,,https://geni.us/jIyiM